id,network_name,num_available,num_total,rated_power,lat,lon
wZpXV1Dljy8BZLVXsZxSOQ,ChargePoint,4,4,6.4,37.983934,-122.032408
QHHPp8lV0u5FibwEf30naw,Tesla,0,1,90.0,38.015907,-122.025141
V827lrmd2HdfbO_-191r9g,ChargePoint,4,4,6.4,38.015127,-122.031222
2xwGz8IbVrG1RGbBUGTR2Q,ChargePoint,3,4,6.4,37.982145,-122.032517
hWGsAaa0Vo-Q2m92a1YYRw,SemaConnect,0,4,11.0,37.98331,-122.033682
6QsaXNt66xBpahWs8CesOg,ChargePoint,1,2,6.4,37.979959,-122.030029
UB1bn_JOeEeO60quKY6N-A,ChargePoint,3,3,6.4,37.978363,-122.033228
G_AnCX4Ebe4II6eCK6iZtw,ChargePoint,2,2,6.4,37.977415,-122.036184
nYXCjCBYBwp_3rFPNBUi7A,Blink,0,2,11.0,37.973353,-122.031921
yu806nSuJB1yemLUouWQig,ChargePoint,2,2,6.4,37.984102,-122.045693
